,Phone Name,Rating ?/5,Number of Ratings,Back/Rare Camera,Front Camera,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
0,"POCO C50 (Royal Blue, 32 GB)",4.2,33561,8MP Dual Camera,5MP Front Camera,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5649,2023-06-17,POCO,2.0,32,5000
1,"POCO M4 5G (Cool Blue, 64 GB)",4.2,77128,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
2,"POCO C51 (Royal Blue, 64 GB)",4.3,15175,8MP Dual Rear Camera,5MP Front Camera,Helio G36 Processor,6999,2023-06-17,POCO,4.0,64,5000
3,"POCO C55 (Cool Blue, 64 GB)",4.2,22621,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
4,"POCO C51 (Power Black, 64 GB)",4.3,15175,8MP Dual Rear Camera,5MP Front Camera,Helio G36 Processor,6999,2023-06-17,POCO,4.0,64,5000
5,"POCO M4 5G (Power Black, 64 GB)",4.2,77128,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
6,"POCO C55 (Power Black, 64 GB)",4.2,22621,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
7,"POCO C55 (Forest Green, 64 GB)",4.2,22621,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,7749,2023-06-17,POCO,4.0,64,5000
8,"POCO C55 (Cool Blue, 128 GB)",4.1,13647,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
9,"POCO M4 5G (Yellow, 128 GB)",4.2,40525,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
10,"POCO C50 (Country Green, 32 GB)",4.2,33561,8MP Dual Camera,5MP Front Camera,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5649,2023-06-17,POCO,2.0,32,5000
11,"POCO C55 (Power Black, 128 GB)",4.1,13647,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
12,"POCO M5 (Power Black, 64 GB)",4.2,7572,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
13,"POCO M5 (Icy Blue, 64 GB)",4.2,7572,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
14,"POCO M4 5G (Yellow, 64 GB)",4.2,77128,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,11999,2023-06-17,POCO,4.0,64,5000
15,"POCO C55 (Forest Green, 128 GB)",4.1,13647,50MP Dual Rear Camera,5MP Front Camera,Mediatek Helio G85 Processor,9249,2023-06-17,POCO,6.0,128,5000
16,"POCO M4 5G (Power Black, 128 GB)",4.2,40525,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
17,"POCO C50 (Royal Blue, 32 GB)",4.1,11675,8MP Dual Camera,5MP Front Camera,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6499,2023-06-17,POCO,3.0,32,5000
18,"POCO M5 (Yellow, 64 GB)",4.2,7572,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,8999,2023-06-17,POCO,4.0,64,5000
19,"POCO M4 Pro (Yellow, 128 GB)",4.2,21133,64MP + 8MP + 2MP,16MP Front Camera,Mediatek Helio G96 Processor,13999,2023-06-17,POCO,8.0,128,5000
20,"POCO C50 (Country Green, 32 GB)",4.1,11675,8MP Dual Camera,5MP Front Camera,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6499,2023-06-17,POCO,3.0,32,5000
21,"POCO X5 5G (Jaguar Black, 128 GB)",4.1,7285,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
22,"POCO X5 5G (Wildcat Blue, 128 GB)",4.1,7285,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
23,"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,21688,50MP + 8MP,16MP Front Camera,Mediatek Dimensity 810 Processor,15999,2023-06-17,POCO,8.0,128,5000
24,"POCO M5 (Power Black, 128 GB)",4.2,3525,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
25,"POCO M5 (Yellow, 128 GB)",4.2,3525,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
26,"POCO X5 5G (Supernova Green, 128 GB)",4.1,7285,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,15999,2023-06-17,POCO,6.0,128,5000
27,"POCO M5 (Icy Blue, 128 GB)",4.2,3525,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,Mediatek Helio G99 Processor,10999,2023-06-17,POCO,6.0,128,5000
28,"POCO M4 Pro (Cool Blue, 128 GB)",4.2,21133,64MP + 8MP + 2MP,16MP Front Camera,Mediatek Helio G96 Processor,13999,2023-06-17,POCO,8.0,128,5000
29,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",4.3,7460,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
30,"POCO X5 5G (Jaguar Black, 256 GB)",4.1,2646,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,17999,2023-06-17,POCO,8.0,256,5000
31,"POCO X5 Pro 5G (Astral Black, 256 GB)",4.3,7460,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
32,"POCO X5 5G (Wildcat Blue, 256 GB)",4.1,2646,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,17999,2023-06-17,POCO,8.0,256,5000
33,"POCO M3 Pro 5G (Yellow, 128 GB)",4.2,54521,48MP + 2MP + 2MP,8MP Front Camera,MediaTek Dimensity 700 Processor,14499,2023-06-17,POCO,6.0,128,5000
34,"POCO M4 5G (Cool Blue, 128 GB)",4.2,40239,50MP + 2MP,8MP Front Camera,Mediatek Dimensity 700 Processor,13999,2023-06-17,POCO,6.0,128,5000
35,"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,17499,2023-06-17,POCO,6.0,128,5000
36,"POCO X5 Pro 5G (Yellow, 256 GB)",4.3,7460,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,23999,2023-06-17,POCO,8.0,256,5000
37,"POCO X5 Pro 5G (Horizon Blue, 128 GB)",4.3,7885,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,21999,2023-06-17,POCO,6.0,128,5000
38,"POCO X5 Pro 5G (Yellow, 128 GB)",4.3,7885,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,21999,2023-06-17,POCO,6.0,128,5000
39,"POCO X5 Pro 5G (Astral Black, 128 GB)",4.3,7885,108MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 778G Processor,21999,2023-06-17,POCO,6.0,128,5000
40,"POCO F5 5G (Snowstorm White, 256 GB)",4.2,2683,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,29999,2023-06-17,POCO,8.0,256,5000
41,"POCO X4 Pro 5G (Yellow, 64 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,16499,2023-06-17,POCO,6.0,64,5000
42,"POCO X5 5G (Supernova Green, 256 GB)",4.1,2646,48MP + 8MP + 2MP,13MP Front Camera,Qualcomm Snapdragon 695 Processor,17999,2023-06-17,POCO,8.0,256,5000
43,"POCO F5 5G (Carbon Black, 256 GB)",4.2,2683,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,29999,2023-06-17,POCO,8.0,256,5000
44,"POCO F5 5G (Electric Blue, 256 GB)",4.2,2683,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,29999,2023-06-17,POCO,8.0,256,5000
45,"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,13MP + 2MP + 2MP,5MP Front Camera,MediaTek Helio G35 Processor,8999,2023-06-17,POCO,4.0,64,5000
46,"POCO F5 5G (Snowstorm White, 256 GB)",4.2,460,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,32999,2023-06-17,POCO,12.0,256,5000
47,"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,21576,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,19499,2023-06-17,POCO,8.0,128,5000
48,"POCO M4 Pro 5G (Yellow, 64 GB)",4.3,48896,50MP + 8MP,16MP Front Camera,Mediatek Dimensity 810 Processor,14999,2023-06-17,POCO,4.0,64,5000
49,"POCO F5 5G (Electric Blue, 256 GB)",4.2,460,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,32999,2023-06-17,POCO,12.0,256,5000
50,"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,13MP + 2MP + 2MP,5MP Front Camera,MediaTek Helio G35 Processor,8999,2023-06-17,POCO,4.0,64,5000
51,"POCO F5 5G (Carbon Black, 256 GB)",4.2,460,64MP (OIS) + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,32999,2023-06-17,POCO,12.0,256,5000
52,"POCO C31 (Shadow Gray, 32 GB)",4.3,145794,13MP + 2MP + 2MP,5MP Front Camera,MediaTek Helio G35 Processor,8499,2023-06-17,POCO,3.0,32,5000
53,"POCO X2 (Atlantis Blue, 64 GB)",4.5,271753,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,17999,2023-06-17,POCO,6.0,64,4500
54,"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,56081,50MP + 8MP,16MP Front Camera,Mediatek Dimensity 810 Processor,16999,2023-06-17,POCO,6.0,128,5000
55,"POCO C31 (Royal Blue, 64 GB)",4.3,222992,13MP + 2MP + 2MP,5MP Front Camera,MediaTek G35 Processor,8999,2023-06-17,POCO,4.0,64,5000
56,"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,21576,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,19499,2023-06-17,POCO,8.0,128,5000
57,"POCO C31 (Royal Blue, 32 GB)",4.3,145794,13MP + 2MP + 2MP,5MP Front Camera,MediaTek Helio G35 Processor,8499,2023-06-17,POCO,3.0,32,5000
58,"POCO M4 Pro (Yellow, 128 GB)",4.3,173304,64MP + 8MP + 2MP,16MP Front Camera,Mediatek Helio G96 Processor,16499,2023-06-17,POCO,6.0,128,5000
59,"POCO X2 (Phoenix Red, 256 GB)",4.5,60968,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,20999,2023-06-17,POCO,8.0,256,4500
60,"POCO X2 (Matrix Purple, 256 GB)",4.5,60968,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,20999,2023-06-17,POCO,8.0,256,4500
61,"POCO F1 (Steel Blue, 64 GB)",4.5,244650,12MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 845 Processor,13689,2023-06-17,POCO,6.0,64,4000
62,"POCO F4 5G (Night Black, 128 GB)",4.3,5304,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,27999,2023-06-17,POCO,8.0,128,4500
63,"POCO F1 (Graphite Black, 128 GB)",4.5,244650,12MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 845 Processor,24999,2023-06-17,POCO,6.0,128,4000
64,"POCO M4 Pro (Yellow, 64 GB)",4.3,173304,64MP + 8MP + 2MP,16MP Front Camera,Mediatek Helio G96 Processor,14999,2023-06-17,POCO,6.0,64,5000
65,"POCO C3 (Matte Black, 32 GB)",4.3,400433,13MP + 2MP + 2MP,5MP Front Camera,Mediatek Helio G35 Processor,9999,2023-06-17,POCO,3.0,32,5000
66,"POCO X4 Pro 5G (Laser Blue, 64 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,16499,2023-06-17,POCO,6.0,64,5000
67,"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,67498,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,11990,2023-06-17,POCO,4.0,64,5000
68,"POCO M2 Pro (Green and Greener, 64 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,17999,2023-06-17,POCO,6.0,64,5000
69,"POCO M2 Pro (Out of the Blue, 128 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,19999,2023-06-17,POCO,6.0,128,5000
70,"POCO C3 (Arctic Blue, 32 GB)",4.3,400433,13MP + 2MP + 2MP,5MP Front Camera,Mediatek Helio G35 Processor,9999,2023-06-17,POCO,3.0,32,5000
71,"POCO X2 (Phoenix Red, 64 GB)",4.5,271753,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,15490,2023-06-17,POCO,6.0,64,4500
72,"POCO X4 Pro 5G (Laser Black, 128 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,17499,2023-06-17,POCO,6.0,128,5000
73,"POCO F4 5G (Night Black, 256 GB)",4.3,3312,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,39999,2023-06-17,POCO,12.0,256,4500
74,"POCO X3 Pro (Graphite Black, 128 GB)",4.3,137003,48MP + 8MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 860 Processor,23999,2023-06-17,POCO,6.0,128,5160
75,"POCO F4 5G (Night Black, 128 GB)",4.3,12889,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,27999,2023-06-17,POCO,6.0,128,4500
76,"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,17499,2023-06-17,POCO,6.0,128,5000
77,"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,249602,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,16999,2023-06-17,POCO,4.0,64,5000
78,"POCO F1 (Rosso Red, 64 GB)",4.5,244650,12MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 845 Processor,21999,2023-06-17,POCO,6.0,64,4000
79,"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,17999,2023-06-17,POCO,6.0,64,5000
80,"POCO M2 Pro (Two Shades of Black, 128 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,19999,2023-06-17,POCO,6.0,128,5000
81,"POCO X2 (Atlantis Blue, 256 GB)",4.5,60968,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,20999,2023-06-17,POCO,8.0,256,4500
82,"POCO M2 Pro (Green and Greener, 64 GB)",4.3,249602,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,16999,2023-06-17,POCO,4.0,64,5000
83,"POCO F4 5G (Nebula Green, 128 GB)",4.3,12889,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,27999,2023-06-17,POCO,6.0,128,4500
84,"POCO M3 (Cool Blue, 128 GB)",4.3,484582,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,14999,2023-06-17,POCO,6.0,128,6000
85,"POCO X3 Pro (Steel Blue, 128 GB)",4.3,137003,48MP + 8MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 860 Processor,23999,2023-06-17,POCO,6.0,128,5160
86,"POCO M3 Pro 5G (Yellow, 64 GB)",4.3,64087,48MP + 2MP + 2MP,8MP Front Camera,MediaTek Dimensity 700 Processor,15999,2023-06-17,POCO,4.0,64,5000
87,"POCO C3 (Lime Green, 32 GB)",4.3,400433,13MP + 2MP + 2MP,5MP Front Camera,Mediatek Helio G35 Processor,9999,2023-06-17,POCO,3.0,32,5000
88,"POCO X3 (Cobalt Blue, 64 GB)",4.3,256360,64MP + 13MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 732G Processor,19999,2023-06-17,POCO,6.0,64,6000
89,"POCO X2 (Matrix Purple, 64 GB)",4.5,271753,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,17999,2023-06-17,POCO,6.0,64,4500
90,"POCO F3 GT 5G (Gunmetal Silver, 128 GB)",4.3,4739,64MP + 8MP + 2MP,16MP Front Camera,MediaTek Dimensity 1200 Processor,32999,2023-06-17,POCO,6.0,128,5065
91,"POCO X2 (Atlantis Blue, 128 GB)",4.5,271753,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,18999,2023-06-17,POCO,6.0,128,4500
92,"POCO F1 (Graphite Black, 64 GB)",4.5,244650,12MP + 5MP,20MP Front Camera,Qualcomm Snapdragon 845 Processor,21999,2023-06-17,POCO,6.0,64,4000
93,"POCO M3 (Cool Blue, 64 GB)",4.3,125650,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,11999,2023-06-17,POCO,4.0,64,6000
94,"POCO M3 (Yellow, 64 GB)",4.3,125650,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,11999,2023-06-17,POCO,4.0,64,6000
95,"POCO M2 (Slate Blue, 64 GB)",4.4,409478,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,12999,2023-06-17,POCO,6.0,64,5000
96,"POCO M3 (Yellow, 64 GB)",4.3,125650,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,11999,2023-06-17,POCO,4.0,64,6000
97,"POCO M2 (Slate Blue, 64 GB)",4.4,409478,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,12999,2023-06-17,POCO,6.0,64,5000
98,"POCO M2 Reloaded (Greyish Black, 64 GB)",4.3,67498,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,11999,2023-06-17,POCO,4.0,64,5000
99,"POCO X3 Pro (Golden Bronze, 128 GB)",4.3,137003,48MP + 8MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 860 Processor,23999,2023-06-17,POCO,6.0,128,5160
100,"POCO M3 (Cool Blue, 64 GB)",4.3,125650,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,10999,2023-06-17,POCO,4.0,64,6000
101,"POCO X4 Pro 5G (Laser Black, 64 GB)",4.2,85420,64MP + 8MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,16499,2023-06-17,POCO,6.0,64,5000
102,"POCO M3 (Cool Blue, 64 GB)",4.3,484582,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,12990,2023-06-17,POCO,6.0,64,6000
103,"POCO M2 Pro (Green and Greener, 128 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,19999,2023-06-17,POCO,6.0,128,5000
104,"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,352150,48MP + 8MP + 5MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 720G Processor,17999,2023-06-17,POCO,6.0,64,5000
105,"POCO M3 (Power Black, 64 GB)",4.3,484582,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,12999,2023-06-17,POCO,6.0,64,6000
106,"POCO X2 (Matrix Purple, 128 GB)",4.5,271753,64MP + 8MP + 2MP + 2MP,20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,18999,2023-06-17,POCO,6.0,128,4500
107,"POCO F3 GT 5G (Predator Black, 128 GB)",4.3,4739,64MP + 8MP + 2MP,16MP Front Camera,MediaTek Dimensity 1200 Processor,32999,2023-06-17,POCO,6.0,128,5065
108,"POCO X3 Pro (Golden Bronze, 128 GB)",4.3,56643,48MP + 8MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 860 Processor,25999,2023-06-17,POCO,8.0,128,5160
109,"POCO M3 (Yellow, 64 GB)",4.3,484582,48MP + 2MP + 2MP,8MP Front Camera,Qualcomm Snapdragon 662 Processor,12999,2023-06-17,POCO,6.0,64,6000
110,"POCO M2 (Pitch Black, 64 GB)",4.4,409478,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,12999,2023-06-17,POCO,6.0,64,5000
111,"POCO M2 (Slate Blue, 128 GB)",4.4,409478,13MP + 8MP + 5MP + 2MP,8MP Front Camera,MediaTek Helio G80 Processor,14999,2023-06-17,POCO,6.0,128,5000
112,"POCO F4 5G (Nebula Green, 128 GB)",4.3,5304,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,27999,2023-06-17,POCO,8.0,128,4500
113,"POCO X3 (Shadow Gray, 64 GB)",4.3,256360,64MP + 13MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 732G Processor,19999,2023-06-17,POCO,6.0,64,6000
114,"POCO F4 5G (Nebula Green, 256 GB)",4.3,3312,64MP + 8MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 870 Processor,39999,2023-06-17,POCO,12.0,256,4500
115,"POCO X3 (Shadow Gray, 128 GB)",4.3,256360,64MP + 13MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 732G Processor,20999,2023-06-17,POCO,6.0,128,6000
116,"POCO M3 Pro 5G (Power Black, 128 GB)",4.2,54521,48MP + 2MP + 2MP,8MP Front Camera,MediaTek Dimensity 700 Processor,17999,2023-06-17,POCO,6.0,128,5000
117,"POCO F3 GT 5G (Predator Black, 256 GB)",4.3,15055,64MP + 8MP + 2MP,16MP Front Camera,MediaTek Dimensity 1200 Processor,36999,2023-06-17,POCO,8.0,256,5065
118,"POCO X3 (Cobalt Blue, 128 GB)",4.3,256360,64MP + 13MP + 2MP + 2MP,20MP Front Camera,Qualcomm Snapdragon 732G Processor,20999,2023-06-17,POCO,6.0,128,6000
119,"POCO F3 GT 5G (Gunmetal Silver, 256 GB)",4.3,15055,64MP + 8MP + 2MP,16MP Front Camera,MediaTek Dimensity 1200 Processor,36999,2023-06-17,POCO,8.0,256,5065
120,"realme C55 (Rainforest, 128 GB)",4.4,12742,64MP + 2MP,8MP Front Camera,Helio G88 Processor,13999,2023-06-17,realme,8.0,128,5000
121,"realme C55 (Rainforest, 64 GB)",4.3,9101,64MP + 2MP,8MP Front Camera,Helio G88 Processor,11999,2023-06-17,realme,6.0,64,5000
122,"realme C55 (Sunshower, 128 GB)",4.4,12742,64MP + 2MP,8MP Front Camera,Helio G88 Processor,13999,2023-06-17,realme,8.0,128,5000
123,"realme C55 (Rainy Night, 128 GB)",4.4,12742,64MP + 2MP,8MP Front Camera,Helio G88 Processor,13999,2023-06-17,realme,8.0,128,5000
124,"realme C55 (Rainy Night, 64 GB)",4.3,9101,64MP + 2MP,8MP Front Camera,Helio G88 Processor,11999,2023-06-17,realme,6.0,64,5000
125,"realme C55 (Sunshower, 64 GB)",4.4,39053,64MP + 2MP,8MP Front Camera,Helio G88 Processor,10999,2023-06-17,realme,4.0,64,5000
126,"realme C55 (Rainforest, 64 GB)",4.4,39053,64MP + 2MP,8MP Front Camera,Helio G88 Processor,10999,2023-06-17,realme,4.0,64,5000
127,"realme C55 (Rainy Night, 64 GB)",4.4,39053,64MP + 2MP,8MP Front Camera,Helio G88 Processor,10999,2023-06-17,realme,4.0,64,5000
128,"realme C55 (Sunshower, 64 GB)",4.3,9101,64MP + 2MP,8MP Front Camera,Helio G88 Processor,11999,2023-06-17,realme,6.0,64,5000
129,"realme C33 2023 (Aqua Blue, 128 GB)",4.4,13111,50MP + 0.3MP,5MP Front Camera,Unisoc T612 Processor,10499,2023-06-17,realme,4.0,128,5000
130,"realme C33 2023 (Sandy Gold, 128 GB)",4.4,13111,50MP + 0.3MP,5MP Front Camera,Unisoc T612 Processor,10499,2023-06-17,realme,4.0,128,5000
131,"realme C30 (Bamboo Green, 32 GB)",4.1,55030,8MP Rear Camera,5MP Front Camera,Unisoc T612 Processor,6499,2023-06-17,realme,3.0,32,5000
132,"realme C30 (Denim Black, 32 GB)",4.2,104291,8MP Rear Camera,5MP Front Camera,Unisoc T612 Processor,5999,2023-06-17,realme,2.0,32,5000
133,"realme C33 2023 (Night Sea, 128 GB)",4.4,13111,50MP + 0.3MP,5MP Front Camera,Unisoc T612 Processor,10499,2023-06-17,realme,4.0,128,5000
134,"realme C30 (Denim Black, 32 GB)",4.1,55030,8MP Rear Camera,5MP Front Camera,Unisoc T612 Processor,6499,2023-06-17,realme,3.0,32,5000
135,"realme C30 (Lake Blue, 32 GB)",4.1,55030,8MP Rear Camera,5MP Front Camera,Unisoc T612 Processor,6499,2023-06-17,realme,3.0,32,5000
136,"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.3,17768,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,19999,2023-06-17,realme,8.0,128,5000
137,"realme 10 Pro 5G (Dark Matter, 128 GB)",4.3,17768,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,19999,2023-06-17,realme,8.0,128,5000
138,"realme 10 Pro 5G (Hyperspace, 128 GB)",4.3,17768,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,19999,2023-06-17,realme,8.0,128,5000
139,"realme 10 Pro 5G (Hyperspace, 128 GB)",4.3,24728,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,18999,2023-06-17,realme,6.0,128,5000
140,"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.3,24728,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,18999,2023-06-17,realme,6.0,128,5000
141,"realme 10 Pro 5G (Dark Matter, 128 GB)",4.3,24728,108MP + 2MP,16MP Front Camera,Qualcomm Snapdragon 695 5G Processor,18999,2023-06-17,realme,6.0,128,5000
142,"realme 10 (Rush Black, 64 GB)",4.3,10967,50MP + 2MP,16MP Front Camera,Mediatek Helio G99 Octa Core Processor,12499,2023-06-17,realme,4.0,64,5000
