,Phone Name,Rating ?/5,Number of Ratings,Back/Rare Camera,Front Camera,Processor,Price in INR,Date of Scraping,Company Name,Ram_size,Storage_size,Battery_size
1016,"vivo Y91i (Ocean Blue, 32 GB)",4.3,43082,13MP Rear Camera,5MP Front Camera,MTK Helio P22 Processor,9990,2023-06-17,vivo,2.0,32,4030
1017,"vivo X60 (Midnight Black, 128 GB)",4.4,3957,48MP + 13MP + 13MP,32MP Front Camera,Qualcomm Snapdragon 870 Processor,37999,2023-06-17,vivo,8.0,128,4300
1018,"vivo X60 (Shimmer Blue, 128 GB)",4.4,3957,48MP + 13MP + 13MP,32MP Front Camera,Qualcomm Snapdragon 870 Processor,37990,2023-06-17,vivo,8.0,128,4300
1019,"vivo V23 Pro 5G (Stardust Black, 128 GB)",4.3,3848,108MP + 8MP + 2MP,50MP + 8MP Dual Front Camera,Mediatek Dimensity 1200 Processor,38990,2023-06-17,vivo,8.0,128,4300
1020,"vivo V23 Pro 5G (Stardust Black, 256 GB)",4.2,1580,108MP + 8MP + 2MP,50MP + 8MP Dual Front Camera,Mediatek Dimensity 1200 Processor,43990,2023-06-17,vivo,12.0,256,4300
1021,"vivo X70 Pro (Aurora Dawn, 256 GB)",4.4,970,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,47990,2023-06-17,vivo,12.0,256,4450
1022,"vivo V27 5G (Noble Black, 256 GB)",4.4,1897,50MP + 8MP + 2MP,50MP Front Camera,Mediatek Dimensity 7200 5G Processor,39998,2023-06-17,vivo,12.0,256,4600
1023,"vivo Y21 (Diamond Glow, 64 GB)",4.3,14939,13MP + 2MP,8MP Front Camera,Mediatek Helio P35 Processor,17449,2023-06-17,vivo,4.0,64,5000
1024,"vivo X70 Pro (Cosmic Black, 256 GB)",4.4,970,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,50990,2023-06-17,vivo,12.0,256,4450
1025,"vivo X70 Pro (Cosmic Black, 256 GB)",4.4,970,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,50990,2023-06-17,vivo,12.0,256,4450
1026,"vivo X70 Pro (Cosmic Black, 256 GB)",4.5,3791,50MP + 12MP + 12MP + 8MP,32MP Front Camera,MediaTek Dimensity 1200 Processor,46990,2023-06-17,vivo,8.0,256,4450
