,Rating ?/5,Number of Ratings,Price in INR,Ram_size,Storage_size,Battery_size,Company_name,Company_name
159,4.3,178,16846,4.0,128.0,5000.0,15,15
160,4.5,47528,10999,4.0,64.0,5000.0,15,15
161,4.3,19257,34999,6.0,128.0,5000.0,15,15
162,4.5,47528,10999,4.0,64.0,5000.0,15,15
163,4.3,19257,34999,6.0,128.0,5000.0,15,15
164,4.3,13087,36999,8.0,128.0,5000.0,15,15
165,4.3,13087,36999,8.0,128.0,5000.0,15,15
166,4.4,85111,18999,6.0,128.0,5000.0,15,15
167,4.2,381,20990,6.0,128.0,5000.0,15,15
168,4.5,47528,11999,4.0,128.0,5000.0,15,15
169,4.2,111,21999,8.0,128.0,5000.0,15,15
170,4.3,77567,16499,4.0,128.0,5000.0,15,15
171,4.4,61201,17999,6.0,64.0,4300.0,15,15
172,4.4,80202,10499,4.0,64.0,4230.0,15,15
173,4.4,80202,10499,4.0,64.0,4230.0,15,15
174,4.1,55030,6049,3.0,32.0,5000.0,15,15
175,4.1,55030,6049,3.0,32.0,5000.0,15,15
176,4.4,65374,16999,6.0,128.0,5000.0,15,15
177,4.3,178,17999,4.0,64.0,5000.0,15,15
178,4.1,1238,12700,4.0,128.0,5000.0,15,15
179,4.2,381,20990,6.0,128.0,5000.0,15,15
180,4.1,55030,6049,3.0,32.0,5000.0,15,15
181,4.4,26968,17999,8.0,128.0,5000.0,15,15
182,4.3,11117,12999,8.0,128.0,4200.0,15,15
183,4.4,32192,17999,6.0,128.0,4500.0,15,15
184,4.1,55030,6049,3.0,32.0,5000.0,15,15
185,4.5,41495,13499,4.0,64.0,5000.0,15,15
186,4.5,41495,13499,4.0,64.0,5000.0,15,15
187,4.4,32192,17999,6.0,128.0,4500.0,15,15
188,4.4,32551,19999,8.0,128.0,4500.0,15,15
189,4.4,32192,17999,6.0,128.0,4500.0,15,15
190,4.4,32192,17999,6.0,128.0,4500.0,15,15
191,4.5,27119,14499,6.0,128.0,5000.0,15,15
192,4.4,32551,19999,8.0,128.0,4500.0,15,15
193,4.3,62922,22999,8.0,128.0,4300.0,15,15
194,4.3,62922,22999,8.0,128.0,4300.0,15,15
195,4.4,47287,20999,6.0,128.0,4300.0,15,15
196,4.4,50931,14999,6.0,128.0,5000.0,15,15
197,4.3,62922,22999,8.0,128.0,4300.0,15,15
198,4.3,62922,22999,8.0,128.0,4300.0,15,15
199,4.4,47287,20999,6.0,128.0,4300.0,15,15
200,4.4,50931,14999,6.0,128.0,5000.0,15,15
201,4.4,50931,14999,6.0,128.0,5000.0,15,15
202,4.4,50931,14999,6.0,128.0,5000.0,15,15
203,4.4,72333,9499,3.0,32.0,5000.0,15,15
204,4.4,47287,20999,6.0,128.0,4300.0,15,15
205,4.4,47287,20999,6.0,128.0,4300.0,15,15
206,4.3,108,17750,6.0,128.0,5000.0,15,15
207,4.3,15032,20999,8.0,128.0,5000.0,15,15
208,4.5,47528,11999,4.0,128.0,5000.0,15,15
209,4.4,44548,9999,4.0,64.0,6000.0,15,15
210,4.4,44548,10999,4.0,128.0,6000.0,15,15
211,4.3,15032,20999,8.0,128.0,5000.0,15,15
212,4.4,70506,17999,6.0,128.0,5000.0,15,15
213,4.4,44548,10999,4.0,128.0,6000.0,15,15
214,4.4,44548,9999,4.0,64.0,6000.0,15,15
215,4.4,85111,18999,6.0,128.0,5000.0,15,15
216,4.4,80202,10499,4.0,64.0,4230.0,15,15
217,4.4,85111,18999,6.0,128.0,5000.0,15,15
218,4.4,70390,18499,8.0,128.0,5000.0,15,15
219,4.4,65374,16999,6.0,128.0,5000.0,15,15
220,4.4,26968,17999,8.0,128.0,5000.0,15,15
221,4.4,86814,13999,4.0,64.0,4300.0,15,15
222,4.4,70390,18499,8.0,128.0,5000.0,15,15
223,4.3,77567,16499,4.0,128.0,5000.0,15,15
224,4.3,77567,15499,4.0,64.0,5000.0,15,15
225,4.3,77567,15499,4.0,64.0,5000.0,15,15
226,4.2,25145,8499,4.0,64.0,5000.0,14,14
227,4.2,25145,8499,4.0,64.0,5000.0,14,14
228,4.2,15053,14490,6.0,128.0,6000.0,14,14
229,4.2,15053,14490,6.0,128.0,6000.0,14,14
230,4.2,10236,15890,6.0,128.0,6000.0,14,14
231,4.2,6173,13490,4.0,128.0,6000.0,14,14
232,4.2,6173,13490,4.0,128.0,6000.0,14,14
233,4.2,6173,13490,4.0,128.0,6000.0,14,14
234,4.2,2481,17344,8.0,128.0,6000.0,14,14
235,4.2,2481,17236,8.0,128.0,6000.0,14,14
236,4.2,15053,14490,6.0,128.0,6000.0,14,14
237,4.1,2898,8093,4.0,64.0,5000.0,14,14
238,4.1,2898,7985,4.0,64.0,5000.0,14,14
239,4.2,43388,15999,4.0,128.0,5000.0,14,14
240,4.2,2481,17195,8.0,128.0,6000.0,14,14
241,4.2,784,12599,6.0,128.0,6000.0,14,14
242,4.2,2481,17332,8.0,128.0,6000.0,14,14
243,4.2,10236,15499,6.0,128.0,6000.0,14,14
244,4.1,2898,8989,4.0,128.0,5000.0,14,14
245,4.0,434,24994,8.0,128.0,5000.0,14,14
246,4.2,10236,15963,6.0,128.0,6000.0,14,14
247,4.1,2898,9999,4.0,128.0,5000.0,14,14
248,4.2,3489,10710,4.0,64.0,6000.0,14,14
249,4.2,1185,28685,8.0,128.0,4500.0,14,14
250,4.2,3489,10857,4.0,64.0,6000.0,14,14
251,4.2,1185,28990,8.0,128.0,4500.0,14,14
252,4.2,3489,10969,4.0,64.0,6000.0,14,14
253,4.0,1698,18999,6.0,128.0,5000.0,14,14
254,4.2,784,12645,6.0,128.0,6000.0,14,14
255,4.1,1133,16499,4.0,64.0,5000.0,14,14
256,4.2,43388,15999,4.0,128.0,5000.0,14,14
257,4.0,1698,18999,6.0,128.0,5000.0,14,14
258,4.1,3592,6775,2.0,32.0,5000.0,14,14
259,4.1,542,21999,6.0,128.0,5000.0,14,14
260,4.0,1698,18999,6.0,128.0,5000.0,14,14
261,4.2,784,12570,6.0,128.0,6000.0,14,14
262,4.1,1021,20999,8.0,128.0,5000.0,14,14
263,4.1,1021,20999,8.0,128.0,5000.0,14,14
264,4.2,1185,29990,8.0,128.0,4500.0,14,14
265,4.1,1133,16499,4.0,64.0,5000.0,14,14
266,4.2,715,30999,8.0,128.0,5000.0,14,14
267,4.2,3489,10900,4.0,64.0,6000.0,14,14
268,4.1,1133,16499,4.0,64.0,5000.0,14,14
269,4.2,715,30999,8.0,128.0,5000.0,14,14
270,4.1,703,24297,6.0,128.0,5000.0,14,14
271,4.2,715,30999,8.0,128.0,5000.0,14,14
272,4.2,715,30999,8.0,128.0,5000.0,14,14
273,4.1,542,21999,6.0,128.0,5000.0,14,14
274,4.2,10236,15899,6.0,128.0,6000.0,14,14
275,4.1,779,13799,4.0,64.0,5000.0,14,14
276,4.2,995,17499,6.0,128.0,5000.0,14,14
277,4.0,434,25470,8.0,128.0,5000.0,14,14
278,4.2,10236,15899,6.0,128.0,6000.0,14,14
279,4.2,995,17499,6.0,128.0,5000.0,14,14
280,4.3,54879,39999,8.0,128.0,4500.0,14,14
281,4.2,995,17499,6.0,128.0,5000.0,14,14
282,4.3,54879,39999,8.0,128.0,4500.0,14,14
283,4.2,10236,16380,6.0,128.0,6000.0,14,14
284,4.1,1021,20999,8.0,128.0,5000.0,14,14
285,4.3,54879,39999,8.0,128.0,4500.0,14,14
286,4.4,66,9999,3.0,64.0,5000.0,14,14
287,4.2,1228,15195,6.0,128.0,5000.0,14,14
288,4.2,1228,14990,6.0,128.0,5000.0,14,14
289,4.0,1008,29900,8.0,128.0,4500.0,14,14
290,4.0,434,25470,8.0,128.0,5000.0,14,14
291,4.4,66,9999,3.0,64.0,5000.0,14,14
292,4.1,74,12499,4.0,64.0,5000.0,14,14
293,4.3,567,19999,8.0,128.0,5000.0,14,14
294,4.1,74,12499,4.0,64.0,5000.0,14,14
295,4.2,995,17499,6.0,128.0,5000.0,14,14
296,4.0,46,12999,4.0,128.0,5000.0,14,14
297,4.2,4476,15899,6.0,128.0,6000.0,14,14
298,4.1,3592,7499,2.0,32.0,5000.0,14,14
299,4.2,1228,14995,6.0,128.0,5000.0,14,14
300,4.2,447,16499,6.0,128.0,5000.0,14,14
301,4.3,233,15779,6.0,128.0,6000.0,14,14
302,4.2,430,12678,4.0,64.0,6000.0,14,14
303,4.1,3940,16200,6.0,128.0,5000.0,14,14
304,4.3,68185,15899,4.0,64.0,4000.0,14,14
305,4.3,414,38999,8.0,128.0,5000.0,14,14
306,4.1,6297,22999,8.0,128.0,5000.0,14,14
307,4.0,46,12999,4.0,128.0,5000.0,14,14
308,4.1,1044,28999,8.0,128.0,5000.0,14,14
309,4.2,1185,28980,8.0,128.0,4500.0,14,14
310,4.3,2204,25990,6.0,128.0,4500.0,14,14
311,4.3,66768,13499,6.0,128.0,6000.0,14,14
312,4.1,779,13799,4.0,64.0,5000.0,14,14
313,4.1,916,8199,3.0,32.0,5000.0,14,14
314,4.1,916,9990,3.0,32.0,5000.0,14,14
315,4.2,447,16499,6.0,128.0,5000.0,14,14
316,4.0,1008,27998,8.0,128.0,4500.0,14,14
317,4.3,54879,39999,8.0,128.0,4500.0,14,14
318,4.2,1636,36990,8.0,128.0,5000.0,14,14
319,4.3,66768,13499,6.0,128.0,6000.0,14,14
320,4.7,7,9850,3.0,64.0,5000.0,14,14
321,4.1,3592,7462,2.0,32.0,5000.0,14,14
322,4.1,3592,7790,2.0,32.0,5000.0,14,14
323,4.1,1922,27999,6.0,128.0,5000.0,14,14
324,4.1,3592,7199,2.0,32.0,5000.0,14,14
325,4.1,74,13499,4.0,128.0,5000.0,14,14
326,4.2,1636,41999,8.0,128.0,5000.0,14,14
327,4.0,46,11999,4.0,64.0,5000.0,14,14
328,4.1,859,14499,4.0,64.0,5000.0,14,14
329,4.2,4476,18999,6.0,128.0,6000.0,14,14
330,4.2,40,11499,4.0,128.0,5000.0,14,14
331,4.0,46,12999,4.0,128.0,5000.0,14,14
332,4.1,74,13499,4.0,128.0,5000.0,14,14
333,4.2,2659,40999,8.0,128.0,4500.0,14,14
334,4.1,1353,17999,6.0,128.0,5000.0,14,14
335,4.0,1008,28500,8.0,128.0,4500.0,14,14
336,4.4,16,30999,6.0,128.0,5000.0,14,14
337,4.2,1129,18450,6.0,128.0,5000.0,14,14
338,4.1,859,14999,4.0,128.0,5000.0,14,14
339,4.2,40,11499,4.0,128.0,5000.0,14,14
340,4.1,1044,27995,8.0,128.0,5000.0,14,14
341,4.1,1044,27499,8.0,128.0,5000.0,14,14
342,4.2,1467,17990,8.0,128.0,5000.0,14,14
343,4.1,3940,16900,6.0,128.0,5000.0,14,14
344,4.0,1817,8487,3.0,32.0,5000.0,14,14
345,4.2,10468,19998,6.0,64.0,5000.0,14,14
346,4.2,4546,9499,3.0,32.0,5000.0,14,14
347,4.4,7289,29499,8.0,128.0,4500.0,14,14
348,4.2,7806,12127,6.0,128.0,6000.0,14,14
349,4.2,1467,18999,8.0,128.0,5000.0,14,14
350,4.2,1129,16999,6.0,128.0,5000.0,14,14
351,4.2,1300,9176,3.0,32.0,5000.0,14,14
352,4.2,430,11390,4.0,64.0,6000.0,14,14
353,4.1,193,11499,4.0,64.0,5000.0,14,14
354,4.2,4546,9499,3.0,32.0,5000.0,14,14
355,4.2,23004,17998,4.0,64.0,5000.0,14,14
356,4.0,1429,7766,2.0,32.0,5000.0,14,14
357,4.1,859,14499,4.0,64.0,5000.0,14,14
358,4.1,2546,24999,6.0,128.0,5000.0,14,14
359,4.2,10468,19998,6.0,64.0,5000.0,14,14
360,4.1,1558,33499,8.0,128.0,5000.0,14,14
361,4.3,7505,16590,6.0,128.0,6000.0,14,14
362,4.2,1467,19999,8.0,128.0,5000.0,14,14
363,4.2,4594,11499,4.0,64.0,5000.0,14,14
364,4.2,10712,10999,3.0,32.0,5000.0,14,14
365,4.1,1353,17999,6.0,128.0,5000.0,14,14
366,4.2,23004,13999,4.0,64.0,5000.0,14,14
367,4.2,91,11490,4.0,64.0,6000.0,14,14
368,4.3,1303,31998,8.0,128.0,4500.0,14,14
369,4.0,1817,8298,3.0,32.0,5000.0,14,14
370,4.3,2204,30498,6.0,128.0,4500.0,14,14
371,4.3,4323,15999,4.0,128.0,6000.0,14,14
372,4.3,816,19000,6.0,128.0,6000.0,14,14
373,4.2,1252,10190,4.0,64.0,5000.0,14,14
374,4.1,1353,17999,6.0,128.0,5000.0,14,14
375,4.2,4546,10499,3.0,32.0,5000.0,14,14
376,4.3,1234,12900,3.0,32.0,4000.0,14,14
377,4.2,10468,18999,6.0,128.0,5000.0,14,14
378,4.4,6810,12499,4.0,64.0,5000.0,10,10
379,4.5,5055,9499,3.0,64.0,5000.0,10,10
380,4.4,6810,12499,4.0,64.0,5000.0,10,10
381,4.4,6810,12499,4.0,64.0,5000.0,10,10
382,4.3,879,16499,8.0,128.0,5000.0,10,10
383,4.4,6810,11929,4.0,64.0,5000.0,10,10
384,4.3,879,16499,8.0,128.0,5000.0,10,10
385,4.3,9921,29999,8.0,128.0,4800.0,10,10
386,4.3,9921,29999,8.0,128.0,4800.0,10,10
387,4.4,940,18798,8.0,128.0,5000.0,10,10
388,4.4,940,18498,8.0,128.0,5000.0,10,10
389,4.5,5055,9820,3.0,64.0,5000.0,10,10
390,4.5,5055,9499,3.0,64.0,5000.0,10,10
391,4.5,5055,9499,3.0,64.0,5000.0,10,10
392,4.4,4498,20999,8.0,128.0,4500.0,10,10
393,4.1,511,21699,8.0,128.0,4500.0,10,10
394,4.3,37318,29999,8.0,128.0,4500.0,10,10
395,4.5,5055,9349,3.0,64.0,5000.0,10,10
396,4.3,2203,11990,3.0,32.0,4230.0,10,10
397,4.3,2203,9490,3.0,32.0,4230.0,10,10
398,4.3,37318,29999,8.0,128.0,4500.0,10,10
399,4.4,3001,13999,4.0,64.0,5000.0,10,10
400,4.2,790,24497,8.0,128.0,4500.0,10,10
401,4.2,790,25388,8.0,128.0,4500.0,10,10
402,4.4,3001,13999,4.0,64.0,5000.0,10,10
403,4.1,69,18989,8.0,128.0,5000.0,10,10
404,4.2,796,15499,4.0,64.0,5000.0,10,10
405,4.3,916,9490,3.0,32.0,4230.0,10,10
406,4.4,3001,13999,4.0,64.0,5000.0,10,10
407,4.4,3001,13995,4.0,64.0,5000.0,10,10
408,4.1,511,20900,8.0,128.0,4500.0,10,10
409,4.2,796,15999,4.0,128.0,5000.0,10,10
410,4.3,700,9990,3.0,32.0,4230.0,10,10
411,4.2,796,15999,4.0,128.0,5000.0,10,10
412,4.3,469,16490,6.0,128.0,5000.0,10,10
413,4.3,916,9900,3.0,32.0,4230.0,10,10
414,4.4,11092,13990,4.0,64.0,5000.0,10,10
415,4.4,11092,14499,4.0,64.0,5000.0,10,10
416,4.1,33,19450,8.0,128.0,5000.0,10,10
417,4.3,22149,12988,4.0,64.0,4230.0,10,10
418,4.3,4035,13990,4.0,64.0,5000.0,10,10
419,4.3,28618,19990,8.0,128.0,4015.0,10,10
420,4.4,11594,19990,6.0,128.0,5000.0,10,10
421,4.3,4035,13999,4.0,64.0,5000.0,10,10
422,4.3,1272,13999,4.0,128.0,5000.0,10,10
423,4.5,82838,11990,4.0,64.0,5000.0,10,10
424,4.4,29604,11990,2.0,16.0,4230.0,10,10
425,4.3,5837,14990,4.0,128.0,4230.0,10,10
426,4.3,28408,15490,6.0,128.0,5000.0,10,10
427,4.4,4710,32990,8.0,128.0,4025.0,10,10
428,4.2,796,15499,4.0,64.0,5000.0,10,10
429,4.0,258,10990,2.0,32.0,4230.0,10,10
430,4.4,29604,11990,2.0,16.0,4230.0,10,10
431,4.3,5264,16990,8.0,128.0,5000.0,10,10
432,4.3,700,9490,3.0,32.0,4230.0,10,10
433,4.4,51589,10490,3.0,32.0,5000.0,10,10
434,4.3,916,9990,3.0,32.0,4230.0,10,10
435,4.0,258,9990,2.0,32.0,4230.0,10,10
436,4.3,1253,19000,6.0,128.0,5000.0,10,10
437,4.4,69762,25999,8.0,128.0,5000.0,10,10
438,4.4,51589,9090,3.0,32.0,5000.0,10,10
439,4.5,2384,27990,6.0,128.0,3400.0,10,10
440,4.5,2384,27990,6.0,128.0,3400.0,10,10
441,4.3,1887,17899,6.0,128.0,5000.0,10,10
442,4.3,28618,18999,8.0,128.0,4015.0,10,10
443,4.3,28618,19990,8.0,128.0,4015.0,10,10
444,4.4,75515,9990,3.0,32.0,4230.0,10,10
445,4.5,2384,27990,6.0,128.0,3400.0,10,10
446,4.3,29964,12149,6.0,128.0,4230.0,10,10
447,4.3,22149,12990,4.0,64.0,4230.0,10,10
448,4.3,1887,17899,6.0,128.0,5000.0,10,10
449,4.3,28618,19990,8.0,128.0,4015.0,10,10
450,4.3,14189,8090,2.0,32.0,4000.0,10,10
451,4.3,1253,20980,6.0,128.0,5000.0,10,10
452,4.3,53573,29990,8.0,128.0,4300.0,10,10
453,4.3,1272,13999,4.0,128.0,5000.0,10,10
454,4.3,5837,10434,4.0,128.0,4230.0,10,10
455,4.5,2384,27990,6.0,128.0,3400.0,10,10
456,4.3,1081,17999,8.0,128.0,5000.0,10,10
457,4.1,10,39990,8.0,128.0,3765.0,10,10
458,4.3,1272,13999,4.0,128.0,5000.0,10,10
459,4.4,67861,10990,4.0,64.0,4230.0,10,10
460,4.3,1272,13499,4.0,64.0,5000.0,10,10
461,4.4,75515,9990,3.0,32.0,4230.0,10,10
462,4.3,28618,18999,8.0,128.0,4015.0,10,10
463,4.4,9706,35990,8.0,128.0,4350.0,10,10
464,4.4,75515,9990,3.0,32.0,4230.0,10,10
465,4.2,1005,25999,8.0,128.0,4500.0,10,10
466,4.3,22149,10920,4.0,64.0,4230.0,10,10
467,4.4,56140,13990,6.0,128.0,5000.0,10,10
468,4.4,31683,19990,8.0,128.0,4310.0,10,10
469,4.4,67861,10990,4.0,64.0,4230.0,10,10
470,4.3,259,20990,4.0,64.0,3200.0,10,10
471,4.3,1272,14999,4.0,64.0,5000.0,10,10
472,4.5,152,20990,8.0,128.0,5000.0,10,10
473,4.5,152,20990,8.0,128.0,5000.0,10,10
474,4.4,68944,15990,6.0,128.0,5000.0,10,10
475,4.4,67861,10990,4.0,64.0,4230.0,10,10
476,4.4,75515,9990,3.0,32.0,4230.0,10,10
477,4.2,7395,8490,2.0,32.0,4230.0,10,10
